sequence_len,RMSE,Score,Model_spec,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
20,16.62566376,569.0753784,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,11.36834049,185.0248413,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,11.46734428,178.2874451,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,11.72862625,220.7632446,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
40,11.33943367,198.7137909,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
45,11.94351482,236.4756775,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
50,12.76494312,245.322998,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequence_len,RMSE,Score,Model_spec,feature_num,attention_type,cell_type,fc_activation,rnn_num_layers,hidden_dim,lstm_dim,fc_layer_dim,feature_head_num,sequence_head_num,fc_dropout,lr,validation_rate,batch_size,patience,max_epochs,bidirectional,save_attention_weights,dataset_root,sub_dataset,norm_type,max_rul,cluster_operations,norm_by_operations,use_max_rul_on_test,gpus,shuffle,exclude_cols
20,16.62566566,569.0754395,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,24,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
25,11.36833763,185.0247498,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
30,11.46651363,178.2657471,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,32,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
35,11.72863388,220.7637329,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
40,11.33943558,198.7138062,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,40,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
45,11.94354439,236.4780273,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,48,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
50,12.76305866,245.2947388,DegFormer+sLSTM,16,deg_attention,slstm,gelu,1,56,16,64,2,2,0.2,0.001,0.1,128,50,150,FALSE,FALSE,D:\Datasets\CMAPSS\raw_data,FD001,z-score,125,FALSE,FALSE,TRUE,1,FALSE,"['op3', 's1', 's5', 's6', 's10', 's16', 's18', 's19']"
